account_id,district_id,frequency,Date,Account_type,,
47,45,Monthly Issuance,1997-12-09,NRI account,,
48,21,Monthly Issuance,1997-12-08,Savings account,,
49,1,Monthly Issuance,1997-12-08,Salary account,,
50,1,Monthly Issuance,1997-12-08,NRI account,,
51,67,Monthly Issuance,1997-12-08,Salary account,,
52,16,Monthly Issuance,1997-12-08,Savings account,,
53,77,Monthly Issuance,1997-12-08,Salary account,,
54,4,Monthly Issuance,1997-12-07,NRI account,,
55,20,Monthly Issuance,1997-12-07,NRI account,,
56,50,Monthly Issuance,1997-12-07,Savings account,,
57,1,Monthly Issuance,1997-12-06,Savings account,,
58,29,Monthly Issuance,1997-12-06,NRI account,,
59,43,Monthly Issuance,1997-12-06,Savings account,,
61,70,Monthly Issuance,1997-12-06,Savings account,,
62,47,Monthly Issuance,1997-12-05,NRI account,,
63,22,Monthly Issuance,1997-12-05,Salary account,,
64,64,Monthly Issuance,1997-12-04,Savings account,,
65,36,Monthly Issuance,1997-12-04,Savings account,,
66,48,Issuance After a Transaction ,1997-12-02,NRI account,,
67,16,Monthly Issuance,1997-12-02,NRI account,,
68,37,Issuance After a Transaction ,1997-11-29,Salary account,,
69,64,Monthly Issuance,1997-11-29,NRI account,,
70,8,Monthly Issuance,1997-11-29,Salary account,,
71,1,Monthly Issuance,1997-11-29,Savings account,,
72,1,Weekly Issuance,1997-11-28,NRI account,,
73,72,Monthly Issuance,1997-11-27,Salary account,,
75,1,Monthly Issuance,1997-11-27,Salary account,,
76,52,Monthly Issuance,1997-11-27,NRI account,,
77,63,Monthly Issuance,1997-11-27,Savings account,,
78,74,Monthly Issuance,1997-11-25,NRI account,,
79,3,Monthly Issuance,1997-11-24,NRI account,,
80,43,Monthly Issuance,1997-11-23,Salary account,,
81,74,Monthly Issuance,1997-11-23,Salary account,,
82,26,Monthly Issuance,1997-11-22,NRI account,,
83,26,Monthly Issuance,1997-11-22,Savings account,,
84,44,Issuance After a Transaction ,1997-11-22,Salary account,,
85,68,Monthly Issuance,1997-11-21,Savings account,,
86,54,Monthly Issuance,1997-11-21,Salary account,,
88,31,Monthly Issuance,1997-11-21,Savings account,,
89,68,Monthly Issuance,1997-11-20,NRI account,,
90,1,Monthly Issuance,1997-11-20,NRI account,,
91,17,Monthly Issuance,1997-11-20,NRI account,,
93,2,Monthly Issuance,1997-11-18,Savings account,,
95,1,Monthly Issuance,1997-11-17,Salary account,,
96,68,Monthly Issuance,1997-11-17,NRI account,,
97,74,Monthly Issuance,1997-11-16,NRI account,,
98,55,Monthly Issuance,1997-11-16,Salary account,,
99,1,Monthly Issuance,1997-11-16,Savings account,,
100,41,Monthly Issuance,1997-11-16,Savings account,,
101,35,Monthly Issuance,1997-11-15,Salary account,,
102,11,Monthly Issuance,1997-11-15,Salary account,,
103,44,Monthly Issuance,1997-11-14,Salary account,,
104,37,Monthly Issuance,1997-11-14,Salary account,,
105,21,Monthly Issuance,1997-11-13,Savings account,,
106,63,Monthly Issuance,1997-11-13,Salary account,,
107,64,Monthly Issuance,1997-11-12,Savings account,,
108,53,Monthly Issuance,1997-11-12,Savings account,,
109,53,Monthly Issuance,1997-11-10,Savings account,,
110,36,Monthly Issuance,1997-11-10,Salary account,,
112,6,Monthly Issuance,1997-11-10,Salary account,,
113,55,Monthly Issuance,1997-11-10,Savings account,,
114,60,Monthly Issuance,1997-11-09,Salary account,,
115,68,Monthly Issuance,1997-11-09,Savings account,,
116,8,Monthly Issuance,1997-11-09,Savings account,,
117,31,Monthly Issuance,1997-11-09,Savings account,,
118,68,Monthly Issuance,1997-11-09,NRI account,,
119,27,Monthly Issuance,1997-11-07,NRI account,,
120,65,Weekly Issuance,1997-11-07,Savings account,,
121,55,Monthly Issuance,1997-11-06,NRI account,,
122,31,Monthly Issuance,1997-11-06,Savings account,,
123,21,Monthly Issuance,1997-11-05,Salary account,,
124,55,Monthly Issuance,1997-11-05,Salary account,,
125,2,Issuance After a Transaction ,1997-11-04,NRI account,,
126,5,Monthly Issuance,1997-11-04,Salary account,,
127,29,Monthly Issuance,1997-11-04,NRI account,,
128,2,Monthly Issuance,1997-11-04,Savings account,,
129,74,Monthly Issuance,1997-11-04,Savings account,,
130,54,Monthly Issuance,1997-11-04,Salary account,,
131,52,Monthly Issuance,1997-11-03,Savings account,,
132,40,Issuance After a Transaction ,1997-11-03,NRI account,,
133,64,Weekly Issuance,1997-11-02,Savings account,,
134,34,Monthly Issuance,1997-11-02,Salary account,,
135,75,Monthly Issuance,1997-10-30,Savings account,,
136,74,Monthly Issuance,1997-10-30,NRI account,,
137,70,Monthly Issuance,1997-10-29,NRI account,,
138,22,Monthly Issuance,1997-10-28,NRI account,,
139,38,Weekly Issuance,1997-10-28,Salary account,,
140,24,Monthly Issuance,1997-10-28,Salary account,,
141,38,Monthly Issuance,1997-10-27,Savings account,,
142,51,Monthly Issuance,1997-10-27,Salary account,,
143,21,Monthly Issuance,1997-10-26,NRI account,,
144,10,Weekly Issuance,1997-10-25,Salary account,,
145,31,Monthly Issuance,1997-10-24,Savings account,,
146,4,Monthly Issuance,1997-10-24,NRI account,,
148,8,Monthly Issuance,1997-10-24,NRI account,,
149,43,Monthly Issuance,1997-10-23,NRI account,,
150,73,Monthly Issuance,1997-10-23,NRI account,,
151,76,Monthly Issuance,1997-10-23,Salary account,,
152,1,Monthly Issuance,1997-10-23,Salary account,,
153,77,Monthly Issuance,1997-10-22,NRI account,,
154,46,Monthly Issuance,1997-10-22,Salary account,,
155,58,Monthly Issuance,1997-10-22,Savings account,,
156,64,Monthly Issuance,1997-10-21,Savings account,,
157,11,Monthly Issuance,1997-10-21,Savings account,,
158,37,Monthly Issuance,1997-10-21,Savings account,,
159,70,Monthly Issuance,1997-10-20,Salary account,,
160,23,Monthly Issuance,1997-10-19,Salary account,,
161,28,Monthly Issuance,1997-10-19,NRI account,,
162,60,Monthly Issuance,1997-10-18,NRI account,,
163,30,Monthly Issuance,1997-10-18,NRI account,,
164,60,Monthly Issuance,1997-10-18,NRI account,,
165,25,Monthly Issuance,1997-10-18,NRI account,,
166,17,Monthly Issuance,1997-10-17,Salary account,,
167,29,Weekly Issuance,1997-10-17,Salary account,,
168,31,Monthly Issuance,1997-10-17,Savings account,,
169,4,Monthly Issuance,1997-10-17,NRI account,,
170,59,Monthly Issuance,1997-10-16,Savings account,,
171,46,Monthly Issuance,1997-10-15,Salary account,,
172,13,Monthly Issuance,1997-10-15,Savings account,,
173,66,Monthly Issuance,1997-10-15,Savings account,,
174,52,Monthly Issuance,1997-10-14,NRI account,,
176,71,Weekly Issuance,1997-10-14,Salary account,,
177,1,Monthly Issuance,1997-10-14,NRI account,,
178,59,Monthly Issuance,1997-10-14,Salary account,,
179,1,Weekly Issuance,1997-10-14,Savings account,,
180,55,Weekly Issuance,1997-10-13,Salary account,,
181,21,Monthly Issuance,1997-10-13,Savings account,,
182,47,Monthly Issuance,1997-10-13,Salary account,,
183,43,Monthly Issuance,1997-10-12,Savings account,,
184,77,Monthly Issuance,1997-10-12,Salary account,,
185,32,Monthly Issuance,1997-10-11,Savings account,,
186,1,Weekly Issuance,1997-10-11,NRI account,,
187,5,Monthly Issuance,1997-10-11,NRI account,,
188,54,Monthly Issuance,1997-10-11,Savings account,,
189,76,Monthly Issuance,1997-10-11,Savings account,,
190,74,Monthly Issuance,1997-10-09,Salary account,,
191,41,Monthly Issuance,1997-10-09,NRI account,,
192,55,Monthly Issuance,1997-10-09,Salary account,,
193,69,Monthly Issuance,1997-10-08,NRI account,,
194,44,Monthly Issuance,1997-10-08,NRI account,,
195,70,Monthly Issuance,1997-10-08,NRI account,,
196,4,Monthly Issuance,1997-10-08,NRI account,,
197,1,Monthly Issuance,1997-10-08,Savings account,,
198,70,Monthly Issuance,1997-10-08,NRI account,,
199,70,Monthly Issuance,1997-10-08,Savings account,,
200,17,Monthly Issuance,1997-10-07,Salary account,,
201,63,Monthly Issuance,1997-10-07,Savings account,,
204,67,Monthly Issuance,1997-10-06,NRI account,,
205,1,Monthly Issuance,1997-10-06,Savings account,,
206,61,Monthly Issuance,1997-10-05,Salary account,,
207,2,Monthly Issuance,1997-10-05,NRI account,,
208,54,Monthly Issuance,1997-10-04,Savings account,,
209,37,Monthly Issuance,1997-10-03,Savings account,,
210,48,Monthly Issuance,1997-10-02,Savings account,,
211,28,Monthly Issuance,1997-10-02,Savings account,,
212,27,Weekly Issuance,1997-10-02,Savings account,,
213,73,Monthly Issuance,1997-10-01,NRI account,,
214,22,Monthly Issuance,1997-10-01,Savings account,,
215,31,Monthly Issuance,1997-10-01,Salary account,,
216,38,Monthly Issuance,1997-10-01,Salary account,,
217,77,Monthly Issuance,1997-09-29,Salary account,,
218,68,Monthly Issuance,1997-09-29,NRI account,,
219,28,Monthly Issuance,1997-09-28,Salary account,,
220,72,Monthly Issuance,1997-09-28,Savings account,,
221,19,Monthly Issuance,1997-09-28,NRI account,,
222,37,Monthly Issuance,1997-09-28,NRI account,,
223,39,Monthly Issuance,1997-09-28,NRI account,,
224,15,Monthly Issuance,1997-09-28,Salary account,,
225,1,Monthly Issuance,1997-09-27,Savings account,,
226,70,Monthly Issuance,1997-09-27,Salary account,,
227,27,Monthly Issuance,1997-09-27,Savings account,,
228,5,Monthly Issuance,1997-09-27,NRI account,,
229,1,Monthly Issuance,1997-09-26,Salary account,,
230,1,Monthly Issuance,1997-09-26,NRI account,,
231,22,Monthly Issuance,1997-09-26,NRI account,,
232,45,Monthly Issuance,1997-09-26,Savings account,,
234,73,Monthly Issuance,1997-09-25,NRI account,,
235,41,Monthly Issuance,1997-09-24,NRI account,,
236,72,Monthly Issuance,1997-09-24,Salary account,,
237,50,Monthly Issuance,1997-09-24,Savings account,,
238,6,Monthly Issuance,1997-09-23,Savings account,,
239,69,Weekly Issuance,1997-09-23,NRI account,,
240,72,Monthly Issuance,1997-09-23,NRI account,,
241,15,Monthly Issuance,1997-09-22,NRI account,,
242,69,Monthly Issuance,1997-09-22,NRI account,,
243,55,Weekly Issuance,1997-09-22,Savings account,,
244,24,Monthly Issuance,1997-09-21,Salary account,,
245,65,Monthly Issuance,1997-09-21,Salary account,,
246,65,Monthly Issuance,1997-09-20,Salary account,,
248,1,Monthly Issuance,1997-09-20,NRI account,,
249,28,Monthly Issuance,1997-09-19,Savings account,,
250,56,Monthly Issuance,1997-09-19,NRI account,,
251,74,Monthly Issuance,1997-09-19,Salary account,,
252,19,Monthly Issuance,1997-09-19,NRI account,,
253,46,Monthly Issuance,1997-09-18,Savings account,,
255,68,Monthly Issuance,1997-09-18,Savings account,,
256,37,Monthly Issuance,1997-09-18,Savings account,,
257,11,Monthly Issuance,1997-09-18,Salary account,,
258,64,Monthly Issuance,1997-09-17,Savings account,,
259,2,Monthly Issuance,1997-09-17,NRI account,,
260,24,Monthly Issuance,1997-09-17,Savings account,,
261,54,Monthly Issuance,1997-09-17,NRI account,,
262,75,Monthly Issuance,1997-09-17,Salary account,,
263,64,Weekly Issuance,1997-09-17,Savings account,,
264,15,Monthly Issuance,1997-09-16,NRI account,,
265,19,Monthly Issuance,1997-09-14,NRI account,,
266,47,Monthly Issuance,1997-09-14,NRI account,,
267,38,Monthly Issuance,1997-09-14,NRI account,,
268,3,Monthly Issuance,1997-09-14,Savings account,,
269,3,Monthly Issuance,1997-09-14,Salary account,,
270,27,Monthly Issuance,1997-09-13,Savings account,,
271,1,Monthly Issuance,1997-09-13,NRI account,,
272,11,Monthly Issuance,1997-09-11,Salary account,,
273,24,Issuance After a Transaction ,1997-09-11,NRI account,,
274,76,Monthly Issuance,1997-09-11,NRI account,,
275,29,Monthly Issuance,1997-09-11,Salary account,,
276,38,Monthly Issuance,1997-09-10,Savings account,,
277,32,Issuance After a Transaction ,1997-09-10,NRI account,,
278,73,Monthly Issuance,1997-09-09,Salary account,,
279,39,Monthly Issuance,1997-09-09,NRI account,,
280,25,Monthly Issuance,1997-09-08,NRI account,,
281,1,Monthly Issuance,1997-09-08,NRI account,,
282,69,Monthly Issuance,1997-09-08,Savings account,,
283,44,Monthly Issuance,1997-09-08,Savings account,,
284,54,Monthly Issuance,1997-09-08,Savings account,,
285,17,Monthly Issuance,1997-09-07,NRI account,,
286,71,Monthly Issuance,1997-09-07,NRI account,,
287,16,Monthly Issuance,1997-09-07,NRI account,,
288,25,Monthly Issuance,1997-09-06,Savings account,,
289,1,Monthly Issuance,1997-09-06,Savings account,,
290,56,Monthly Issuance,1997-09-04,Savings account,,
291,7,Monthly Issuance,1997-09-04,NRI account,,
292,49,Monthly Issuance,1997-09-04,Savings account,,
293,1,Monthly Issuance,1997-09-04,Salary account,,
294,7,Monthly Issuance,1997-09-04,Savings account,,
295,66,Monthly Issuance,1997-09-03,NRI account,,
296,49,Monthly Issuance,1997-09-03,Savings account,,
297,74,Monthly Issuance,1997-09-02,Savings account,,
298,35,Monthly Issuance,1997-09-02,Savings account,,
299,77,Monthly Issuance,1997-09-02,Salary account,,
300,1,Monthly Issuance,1997-09-01,NRI account,,
301,60,Monthly Issuance,1997-09-01,Salary account,,
302,7,Monthly Issuance,1997-09-01,Salary account,,
303,71,Monthly Issuance,1997-08-30,Savings account,,
304,4,Monthly Issuance,1997-08-29,Savings account,,
305,34,Monthly Issuance,1997-08-29,NRI account,,
306,16,Monthly Issuance,1997-08-29,Salary account,,
307,26,Monthly Issuance,1997-08-28,Savings account,,
308,61,Monthly Issuance,1997-08-28,Salary account,,
309,14,Monthly Issuance,1997-08-27,NRI account,,
311,50,Monthly Issuance,1997-08-26,NRI account,,
312,41,Monthly Issuance,1997-08-23,Salary account,,
313,73,Monthly Issuance,1997-08-22,Salary account,,
314,15,Issuance After a Transaction ,1997-08-22,Salary account,,
315,45,Monthly Issuance,1997-08-22,NRI account,,
316,62,Monthly Issuance,1997-08-21,NRI account,,
317,76,Monthly Issuance,1997-08-21,Salary account,,
318,36,Monthly Issuance,1997-08-21,Salary account,,
319,47,Weekly Issuance,1997-08-21,NRI account,,
320,47,Monthly Issuance,1997-08-21,Salary account,,
321,47,Monthly Issuance,1997-08-20,Savings account,,
322,1,Monthly Issuance,1997-08-20,NRI account,,
323,52,Monthly Issuance,1997-08-19,Savings account,,
324,1,Monthly Issuance,1997-08-19,Salary account,,
325,75,Monthly Issuance,1997-08-19,Savings account,,
326,61,Monthly Issuance,1997-08-19,NRI account,,
327,54,Monthly Issuance,1997-08-18,Salary account,,
328,1,Monthly Issuance,1997-08-18,NRI account,,
329,3,Monthly Issuance,1997-08-18,NRI account,,
330,42,Monthly Issuance,1997-08-18,Salary account,,
331,65,Monthly Issuance,1997-08-18,Savings account,,
332,36,Monthly Issuance,1997-08-18,Salary account,,
333,73,Monthly Issuance,1997-08-18,Salary account,,
334,1,Monthly Issuance,1997-08-17,NRI account,,
335,74,Monthly Issuance,1997-08-17,Salary account,,
336,62,Monthly Issuance,1997-08-17,Salary account,,
337,17,Monthly Issuance,1997-08-16,Salary account,,
338,49,Monthly Issuance,1997-08-15,Savings account,,
339,46,Weekly Issuance,1997-08-14,Salary account,,
340,1,Monthly Issuance,1997-08-14,NRI account,,
341,28,Monthly Issuance,1997-08-14,Savings account,,
342,64,Monthly Issuance,1997-08-14,NRI account,,
343,18,Monthly Issuance,1997-08-14,Salary account,,
344,54,Monthly Issuance,1997-08-13,NRI account,,
345,5,Monthly Issuance,1997-08-13,Savings account,,
346,37,Monthly Issuance,1997-08-12,Savings account,,
347,65,Monthly Issuance,1997-08-11,Salary account,,
348,25,Monthly Issuance,1997-08-11,NRI account,,
349,72,Monthly Issuance,1997-08-11,NRI account,,
350,47,Monthly Issuance,1997-08-11,Savings account,,
351,50,Monthly Issuance,1997-08-11,NRI account,,
352,39,Monthly Issuance,1997-08-10,Salary account,,
353,24,Monthly Issuance,1997-08-09,NRI account,,
354,59,Monthly Issuance,1997-08-08,NRI account,,
355,62,Weekly Issuance,1997-08-08,NRI account,,
356,70,Monthly Issuance,1997-08-08,Salary account,,
357,20,Monthly Issuance,1997-08-08,Savings account,,
358,12,Monthly Issuance,1997-08-08,Savings account,,
359,11,Monthly Issuance,1997-08-08,Salary account,,
360,32,Monthly Issuance,1997-08-08,Savings account,,
361,51,Monthly Issuance,1997-08-08,Salary account,,
362,15,Monthly Issuance,1997-08-08,Salary account,,
363,1,Monthly Issuance,1997-08-08,Salary account,,
364,1,Monthly Issuance,1997-08-07,Savings account,,
365,74,Monthly Issuance,1997-08-07,Salary account,,
366,1,Monthly Issuance,1997-08-07,Salary account,,
367,23,Monthly Issuance,1997-08-06,NRI account,,
368,77,Monthly Issuance,1997-08-06,Salary account,,
370,25,Monthly Issuance,1997-08-06,Salary account,,
371,12,Monthly Issuance,1997-08-06,Salary account,,
372,55,Monthly Issuance,1997-08-05,Savings account,,
373,67,Monthly Issuance,1997-08-05,NRI account,,
374,38,Monthly Issuance,1997-08-05,Savings account,,
375,68,Monthly Issuance,1997-08-04,NRI account,,
376,25,Monthly Issuance,1997-08-04,NRI account,,
377,70,Monthly Issuance,1997-08-04,Savings account,,
378,68,Monthly Issuance,1997-08-04,NRI account,,
379,32,Monthly Issuance,1997-08-04,Salary account,,
381,68,Monthly Issuance,1997-08-03,NRI account,,
382,14,Monthly Issuance,1997-08-03,Savings account,,
383,38,Monthly Issuance,1997-08-03,Salary account,,
384,24,Weekly Issuance,1997-08-02,NRI account,,
385,5,Monthly Issuance,1997-08-02,NRI account,,
386,1,Monthly Issuance,1997-08-02,Savings account,,
387,72,Monthly Issuance,1997-08-01,Salary account,,
388,59,Monthly Issuance,1997-08-01,NRI account,,
389,30,Monthly Issuance,1997-07-29,Salary account,,
390,44,Monthly Issuance,1997-07-28,Salary account,,
391,36,Monthly Issuance,1997-07-27,NRI account,,
392,1,Monthly Issuance,1997-07-27,NRI account,,
393,46,Monthly Issuance,1997-07-26,NRI account,,
395,1,Monthly Issuance,1997-07-25,Savings account,,
396,21,Monthly Issuance,1997-07-25,Salary account,,
397,11,Monthly Issuance,1997-07-25,NRI account,,
398,69,Monthly Issuance,1997-07-24,NRI account,,
399,1,Monthly Issuance,1997-07-24,Savings account,,
400,28,Monthly Issuance,1997-07-24,NRI account,,
401,32,Monthly Issuance,1997-07-24,Savings account,,
402,68,Monthly Issuance,1997-07-23,Salary account,,
403,1,Monthly Issuance,1997-07-23,NRI account,,
404,41,Monthly Issuance,1997-07-23,Savings account,,
405,55,Monthly Issuance,1997-07-21,NRI account,,
406,63,Monthly Issuance,1997-07-21,NRI account,,
407,72,Weekly Issuance,1997-07-21,Salary account,,
408,41,Monthly Issuance,1997-07-20,Savings account,,
409,1,Monthly Issuance,1997-07-20,NRI account,,
410,49,Monthly Issuance,1997-07-20,Savings account,,
411,70,Monthly Issuance,1997-07-19,Savings account,,
412,74,Monthly Issuance,1997-07-19,NRI account,,
413,18,Monthly Issuance,1997-07-19,NRI account,,
414,1,Monthly Issuance,1997-07-19,Salary account,,
415,25,Monthly Issuance,1997-07-18,NRI account,,
416,6,Monthly Issuance,1997-07-18,Salary account,,
417,73,Monthly Issuance,1997-07-18,Salary account,,
418,36,Monthly Issuance,1997-07-18,NRI account,,
419,13,Monthly Issuance,1997-07-17,NRI account,,
420,75,Monthly Issuance,1997-07-17,Salary account,,
421,75,Monthly Issuance,1997-07-15,NRI account,,
422,53,Weekly Issuance,1997-07-15,NRI account,,
423,12,Monthly Issuance,1997-07-14,Savings account,,
424,12,Monthly Issuance,1997-07-14,NRI account,,
425,9,Monthly Issuance,1997-07-14,Salary account,,
426,1,Monthly Issuance,1997-07-14,Salary account,,
427,8,Monthly Issuance,1997-07-13,Savings account,,
428,1,Monthly Issuance,1997-07-13,Savings account,,
429,63,Monthly Issuance,1997-07-13,NRI account,,
430,54,Monthly Issuance,1997-07-12,Savings account,,
431,18,Monthly Issuance,1997-07-12,NRI account,,
432,46,Monthly Issuance,1997-07-12,NRI account,,
433,20,Monthly Issuance,1997-07-12,Savings account,,
434,1,Monthly Issuance,1997-07-11,Savings account,,
435,38,Monthly Issuance,1997-07-11,NRI account,,
436,30,Monthly Issuance,1997-07-11,NRI account,,
437,43,Monthly Issuance,1997-07-10,NRI account,,
438,37,Monthly Issuance,1997-07-10,Salary account,,
439,69,Monthly Issuance,1997-07-09,NRI account,,
440,29,Monthly Issuance,1997-07-09,Savings account,,
441,27,Weekly Issuance,1997-07-09,NRI account,,
442,54,Monthly Issuance,1997-07-08,Salary account,,
443,64,Monthly Issuance,1997-07-08,Salary account,,
444,26,Monthly Issuance,1997-07-08,NRI account,,
445,63,Weekly Issuance,1997-07-08,NRI account,,
446,50,Monthly Issuance,1997-07-07,NRI account,,
447,5,Monthly Issuance,1997-07-07,Savings account,,
449,19,Monthly Issuance,1997-07-07,Savings account,,
450,59,Monthly Issuance,1997-07-07,NRI account,,
451,11,Monthly Issuance,1997-07-06,Savings account,,
452,63,Monthly Issuance,1997-07-06,Savings account,,
453,75,Monthly Issuance,1997-07-06,Salary account,,
454,7,Monthly Issuance,1997-07-05,NRI account,,
455,54,Monthly Issuance,1997-07-05,Salary account,,
456,49,Monthly Issuance,1997-07-04,Savings account,,
458,7,Monthly Issuance,1997-07-03,Savings account,,
459,47,Monthly Issuance,1997-07-03,NRI account,,
460,1,Monthly Issuance,1997-07-03,NRI account,,
461,30,Monthly Issuance,1997-07-03,Salary account,,
462,29,Monthly Issuance,1997-07-03,NRI account,,
463,51,Monthly Issuance,1997-07-02,Salary account,,
464,43,Monthly Issuance,1997-07-02,Salary account,,
465,32,Monthly Issuance,1997-07-02,Salary account,,
466,71,Monthly Issuance,1997-07-02,NRI account,,
467,74,Monthly Issuance,1997-07-02,Salary account,,
468,49,Monthly Issuance,1997-07-02,NRI account,,
469,72,Monthly Issuance,1997-07-01,Salary account,,
470,64,Monthly Issuance,1997-07-01,Savings account,,
471,47,Monthly Issuance,1997-06-29,NRI account,,
472,8,Monthly Issuance,1997-06-29,Salary account,,
473,73,Monthly Issuance,1997-06-28,NRI account,,
474,61,Monthly Issuance,1997-06-28,Savings account,,
475,3,Monthly Issuance,1997-06-28,Salary account,,
476,69,Monthly Issuance,1997-06-27,Salary account,,
477,1,Monthly Issuance,1997-06-27,Salary account,,
478,58,Monthly Issuance,1997-06-26,NRI account,,
479,1,Monthly Issuance,1997-06-26,Salary account,,
480,23,Monthly Issuance,1997-06-26,Salary account,,
481,72,Monthly Issuance,1997-06-26,Savings account,,
483,70,Monthly Issuance,1997-06-26,Salary account,,
484,1,Monthly Issuance,1997-06-25,Salary account,,
485,6,Issuance After a Transaction ,1997-06-25,NRI account,,
486,33,Monthly Issuance,1997-06-25,NRI account,,
487,40,Monthly Issuance,1997-06-23,Salary account,,
488,25,Monthly Issuance,1997-06-23,Salary account,,
489,16,Monthly Issuance,1997-06-23,NRI account,,
490,45,Monthly Issuance,1997-06-23,NRI account,,
491,44,Monthly Issuance,1997-06-22,Salary account,,
492,5,Monthly Issuance,1997-06-22,Savings account,,
493,26,Monthly Issuance,1997-06-22,NRI account,,
494,60,Monthly Issuance,1997-06-22,Savings account,,
496,69,Monthly Issuance,1997-06-22,NRI account,,
497,55,Monthly Issuance,1997-06-22,Savings account,,
498,1,Monthly Issuance,1997-06-22,NRI account,,
500,56,Monthly Issuance,1997-06-21,Savings account,,
501,13,Monthly Issuance,1997-06-21,NRI account,,
502,1,Monthly Issuance,1997-06-20,Salary account,,
503,1,Monthly Issuance,1997-06-20,NRI account,,
504,73,Monthly Issuance,1997-06-20,Savings account,,
505,64,Monthly Issuance,1997-06-19,NRI account,,
506,67,Monthly Issuance,1997-06-18,NRI account,,
507,52,Monthly Issuance,1997-06-18,NRI account,,
508,74,Monthly Issuance,1997-06-18,NRI account,,
509,36,Monthly Issuance,1997-06-17,NRI account,,
510,1,Weekly Issuance,1997-06-16,Savings account,,
511,14,Monthly Issuance,1997-06-16,NRI account,,
512,68,Monthly Issuance,1997-06-16,Savings account,,
513,58,Monthly Issuance,1997-06-15,Salary account,,
514,70,Monthly Issuance,1997-06-15,NRI account,,
515,57,Monthly Issuance,1997-06-14,NRI account,,
516,6,Monthly Issuance,1997-06-14,Salary account,,
517,76,Monthly Issuance,1997-06-14,Salary account,,
518,74,Monthly Issuance,1997-06-13,Salary account,,
519,24,Monthly Issuance,1997-06-13,Salary account,,
520,60,Monthly Issuance,1997-06-12,Savings account,,
521,9,Monthly Issuance,1997-06-12,Salary account,,
522,17,Monthly Issuance,1997-06-11,NRI account,,
523,1,Monthly Issuance,1997-06-11,NRI account,,
524,61,Monthly Issuance,1997-06-11,NRI account,,
525,70,Monthly Issuance,1997-06-10,Savings account,,
526,67,Monthly Issuance,1997-06-09,Savings account,,
528,17,Monthly Issuance,1997-06-09,Savings account,,
529,39,Monthly Issuance,1997-06-09,Savings account,,
530,54,Monthly Issuance,1997-06-08,NRI account,,
531,31,Monthly Issuance,1997-06-08,Salary account,,
532,26,Monthly Issuance,1997-06-08,Salary account,,
533,40,Monthly Issuance,1997-06-07,Savings account,,
534,1,Monthly Issuance,1997-06-07,NRI account,,
535,35,Monthly Issuance,1997-06-07,NRI account,,
536,14,Monthly Issuance,1997-06-07,NRI account,,
537,34,Monthly Issuance,1997-06-07,Salary account,,
538,70,Monthly Issuance,1997-06-06,NRI account,,
539,13,Issuance After a Transaction ,1997-06-06,Savings account,,
540,75,Monthly Issuance,1997-06-06,NRI account,,
